manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Synthstrom,Deluge,Arpeggiator,Reverse probability,,36,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Velocity spread,,37,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Octave spread,,39,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Gate spread,,40,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Rhythm,,42,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Sequence length,,43,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Chord polyphony,,44,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Ratchet amount,,45,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Note probability,,46,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Bass probability,,47,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Chord probability,,48,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Ratchet probability,,49,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Gate,,50,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Arpeggiator,Rate,,51,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Compressor,Threshold,,27,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Delay,Amonut,,52,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Delay,Rate,,53,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Distortion,Wavefolder,,19,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Distortion,Bitcrush,,62,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Distortion,Decimation,,63,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 1,Attack,,73,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 1,Decay,,75,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 1,Sustain,,76,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 1,Release,,72,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 2,Attack,,77,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 2,Decay,,78,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 2,Sustain,,79,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 2,Release,,80,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 3,Attack,,102,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 3,Decay,,103,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 3,Sustain,,104,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 3,Release,,105,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 4,Attack,,106,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 4,Decay,,107,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 4,Sustain,,108,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Envelope 4,Release,,109,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,EQ,Bass frequency,,84,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,EQ,Treble frequency,,85,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,EQ,Bass,,86,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,EQ,Treble,,87,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,FM 1,Pitch,,14,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,FM 1,Level,,54,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,FM 1,Feedback,,55,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,FM 2,Pitch,,15,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,FM 2,Level,,56,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,FM 2,Feedbacp,,57,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,High-pass filter,Frequency,,81,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,High-pass filter,Resonance,,82,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,High-pass filter,Morph,,83,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,LFOs,LFO 1 rate,,58,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,LFOs,LFO 2 rate,,59,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,LFOs,LFO 3 rate,,110,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,LFOs,LFO 4 rate,,111,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Low-pass filter,LPF frequency,,74,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Low-pass filter,LPF resonance,,71,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Low-pass filter,LPF morph,,70,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Master,Master pitch,,3,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Master,Master level,,7,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Master,Master pan,,10,,0,127,,,,,,,centered,,
Synthstrom,Deluge,Modulation effect,Rate,,16,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Modulation effect,Feedback,,17,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Modulation effect,Offset,,18,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Modulation effect,Depth,,93,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Noise,Noise Volume,,41,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 1,Pitch,,12,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 1,Level,,21,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 1,Pulse width,,23,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 1,Feedback,,24,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 1,Wave position,,25,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 2,Pitch,,13,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 2,Level,,26,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 2,Pulse width,,28,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 2,Feedback,,29,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Oscillator 2,Wave position,,30,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Portamento,Portamento,,5,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Reverb,Reverb amount,,91,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Sidechain,Sidechain shape,,60,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Sidechain,Sidechain level / volume duck,,61,,0,127,,,,,,,0-based,,
Synthstrom,Deluge,Stutter,Stutter rate,,20,,0,127,,,,,,,0-based,,
